bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types
345,12450,2024-04-01T00:15:30Z,2024-04-01T00:16:12Z,93.184.216.34,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T00:15:30Z,None
180,4320,2024-04-01T03:22:05Z,2024-04-01T03:22:15Z,151.101.128.81,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T03:22:05Z,None
620,28450,2024-04-01T06:45:18Z,2024-04-01T06:46:02Z,193.99.144.80,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T06:45:18Z,None
1250,65400,2024-04-01T10:12:40Z,2024-04-01T10:14:10Z,103.21.164.2,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T10:12:40Z,None
210,5120,2024-04-01T13:30:11Z,2024-04-01T13:30:25Z,198.51.100.42,CA,HTTPS,301,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T13:30:11Z,None
430,18900,2024-04-01T17:05:55Z,2024-04-01T17:06:30Z,194.170.1.2,AE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T17:05:55Z,None
150,7650,2024-04-01T20:50:22Z,2024-04-01T20:50:40Z,104.244.42.1,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-01T20:50:22Z,None
890,42100,2024-04-02T00:10:05Z,2024-04-02T00:11:15Z,212.58.244.20,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T00:10:05Z,None
310,11200,2024-04-02T03:40:37Z,2024-04-02T03:41:01Z,78.46.20.10,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T03:40:37Z,None
540,22300,2024-04-02T07:15:42Z,2024-04-02T07:16:10Z,49.207.1.5,IN,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T07:15:42Z,None
1750,81200,2024-04-02T10:55:19Z,2024-04-02T10:57:04Z,142.250.190.46,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T10:55:19Z,None
260,9800,2024-04-02T14:20:01Z,2024-04-02T14:20:25Z,204.101.4.10,CA,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T14:20:01Z,None
410,14300,2024-04-02T17:45:33Z,2024-04-02T17:46:12Z,91.74.1.5,AE,HTTPS,404,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T17:45:33Z,None
950,53200,2024-04-02T21:10:50Z,2024-04-02T21:12:05Z,64.233.160.0,US,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-02T21:10:50Z,None
320,13400,2024-04-03T01:00:15Z,2024-04-03 breakdown,62.252.0.1,GB,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T01:00:15Z,None
710,31200,2024-04-03T04:25:28Z,2024-04-03T04:26:15Z,46.4.30.5,DE,HTTPS,200,443,10.138.69.97,None,None,AWS_VPC_Flow,prod_webserver,2024-04-03T04:25:28Z,None
